
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1744
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       5764
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9404
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       5764
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1484
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1308
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2296
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       3392
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       4432
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       1456
  TCP    127.0.0.1:8884         0.0.0.0:0              LISTENING       4
  TCP    127.0.0.1:49669        127.0.0.1:49670        ESTABLISHED     5764
  TCP    127.0.0.1:49670        127.0.0.1:49669        ESTABLISHED     5764
  TCP    127.0.0.1:49671        127.0.0.1:49672        ESTABLISHED     5764
  TCP    127.0.0.1:49672        127.0.0.1:49671        ESTABLISHED     5764
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.170.64:139     0.0.0.0:0              LISTENING       4
  TCP    192.168.170.64:1810    52.175.141.217:443     ESTABLISHED     14744
  TCP    192.168.170.64:3514    8.8.4.4:443            ESTABLISHED     12964
  TCP    192.168.170.64:3515    52.98.57.130:443       ESTABLISHED     10376
  TCP    192.168.170.64:4004    8.8.4.4:443            TIME_WAIT       0
  TCP    192.168.170.64:5866    74.161.186.160:443     ESTABLISHED     12964
  TCP    192.168.170.64:6575    13.107.136.254:443     ESTABLISHED     12964
  TCP    192.168.170.64:10985   216.239.38.223:443     ESTABLISHED     14564
  TCP    192.168.170.64:11762   13.127.99.68:443       ESTABLISHED     15784
  TCP    192.168.170.64:14524   20.140.56.69:443       CLOSE_WAIT      12964
  TCP    192.168.170.64:15508   52.98.58.34:443        ESTABLISHED     7660
  TCP    192.168.170.64:15839   3.108.125.57:443       ESTABLISHED     15784
  TCP    192.168.170.64:16029   104.18.32.47:443       ESTABLISHED     14564
  TCP    192.168.170.64:16439   48.218.107.66:443      ESTABLISHED     14744
  TCP    192.168.170.64:20230   8.8.4.4:443            ESTABLISHED     14744
  TCP    192.168.170.64:21008   142.250.182.206:443    ESTABLISHED     14564
  TCP    192.168.170.64:21923   35.190.80.1:443        ESTABLISHED     14564
  TCP    192.168.170.64:23094   20.249.168.239:443     ESTABLISHED     12176
  TCP    192.168.170.64:23794   23.217.111.107:443     ESTABLISHED     12964
  TCP    192.168.170.64:26529   40.104.77.66:443       ESTABLISHED     7660
  TCP    192.168.170.64:27470   142.250.182.206:443    ESTABLISHED     14564
  TCP    192.168.170.64:29299   204.79.197.222:443     ESTABLISHED     12964
  TCP    192.168.170.64:29302   52.123.129.14:443      ESTABLISHED     22900
  TCP    192.168.170.64:29303   52.110.16.168:443      ESTABLISHED     22900
  TCP    192.168.170.64:29304   51.116.253.169:443     ESTABLISHED     22900
  TCP    192.168.170.64:29305   51.116.253.169:443     SYN_SENT        20828
  TCP    192.168.170.64:29829   192.178.211.84:443     ESTABLISHED     14564
  TCP    192.168.170.64:31607   34.128.128.0:443       ESTABLISHED     14564
  TCP    192.168.170.64:32224   23.217.111.107:443     CLOSE_WAIT      12964
  TCP    192.168.170.64:32225   40.104.66.114:443      ESTABLISHED     11556
  TCP    192.168.170.64:40031   8.8.8.8:443            ESTABLISHED     14564
  TCP    192.168.170.64:43354   13.71.196.234:8883     ESTABLISHED     21376
  TCP    192.168.170.64:44016   8.8.4.4:443            TIME_WAIT       0
  TCP    192.168.170.64:45024   172.253.118.188:5228   ESTABLISHED     14564
  TCP    192.168.170.64:46512   52.112.125.143:443     ESTABLISHED     14744
  TCP    192.168.170.64:46641   52.123.129.14:443      ESTABLISHED     14744
  TCP    192.168.170.64:48760   20.140.56.69:443       ESTABLISHED     12964
  TCP    192.168.170.64:48868   52.200.46.145:443      ESTABLISHED     15784
  TCP    192.168.170.64:49411   4.213.25.240:443       ESTABLISHED     4876
  TCP    192.168.170.64:50928   52.112.125.143:443     ESTABLISHED     14744
  TCP    192.168.170.64:51420   74.161.186.160:443     ESTABLISHED     12964
  TCP    192.168.170.64:51717   4.213.25.242:443       ESTABLISHED     1336
  TCP    192.168.170.64:52598   104.18.32.47:443       ESTABLISHED     14564
  TCP    192.168.170.64:53714   52.200.46.145:443      ESTABLISHED     15784
  TCP    192.168.170.64:54214   8.8.8.8:443            ESTABLISHED     14564
  TCP    192.168.170.64:56036   8.8.4.4:443            ESTABLISHED     7660
  TCP    192.168.170.64:60639   142.250.192.202:443    ESTABLISHED     14564
  TCP    [::]:135               [::]:0                 LISTENING       1744
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3306              [::]:0                 LISTENING       5764
  TCP    [::]:33060             [::]:0                 LISTENING       5764
  TCP    [::]:49664             [::]:0                 LISTENING       1484
  TCP    [::]:49665             [::]:0                 LISTENING       1308
  TCP    [::]:49666             [::]:0                 LISTENING       2296
