Pid,Name,Family,Type,Status,Laddr.IP,Laddr.Port,Raddr.IP,Raddr.Port,Timestamp
1748,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,135,0.0.0.0,0,2026-03-31T16:00:18Z
4,System,IPv4,TCP,LISTEN,192.168.56.1,139,0.0.0.0,0,2026-04-01T07:53:53Z
4,System,IPv4,TCP,LISTEN,192.168.170.64,139,0.0.0.0,0,2026-04-01T07:54:23Z
4,System,IPv4,TCP,LISTEN,192.168.224.1,139,0.0.0.0,0,2026-03-31T16:03:16Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,1107,35.190.80.1,443,2026-04-01T10:56:30Z
3112,FileCoAuth.exe,IPv4,TCP,ESTAB,192.168.170.64,1108,20.189.173.10,443,2026-04-01T10:56:32Z
14788,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.170.64,1400,8.8.8.8,443,2026-04-01T10:55:45Z
12024,msedge.exe,IPv4,TCP,ESTAB,192.168.170.64,1754,172.188.155.25,443,2026-04-01T10:42:51Z
19752,ms-teams.exe,IPv4,TCP,ESTAB,192.168.170.64,4846,13.89.179.14,443,2026-04-01T10:56:00Z
4964,svchost.exe,IPv4,TCP,LISTEN,0.0.0.0,5040,0.0.0.0,0,2026-04-01T07:53:50Z
0,,IPv4,TCP,TIME_WAIT,192.168.170.64,7680,192.168.181.250,62587,1601-01-01T00:00:00Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8000,0.0.0.0,0,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,38196,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,43822,2026-04-01T10:42:54Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,43821,2026-04-01T10:42:54Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8000,127.0.0.1,38195,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8001,127.0.0.1,38188,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8001,0.0.0.0,0,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8003,0.0.0.0,0,2026-04-01T10:42:49Z
12024,msedge.exe,IPv4,TCP,CLOSE_WAIT,192.168.170.64,8296,23.217.111.66,443,2026-04-01T10:56:26Z
4,System,IPv4,TCP,LISTEN,127.0.0.1,8884,0.0.0.0,0,2026-03-31T16:03:40Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,8889,127.0.0.1,22900,2026-04-01T10:42:51Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,LISTEN,127.0.0.1,8889,0.0.0.0,0,2026-04-01T10:42:49Z
14788,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.170.64,9799,48.218.107.37,443,2026-04-01T08:10:00Z
12024,msedge.exe,IPv4,TCP,ESTAB,192.168.170.64,10552,4.213.133.109,443,2026-04-01T10:56:29Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,10809,172.64.148.235,443,2026-04-01T10:41:02Z
23172,explorer.exe,IPv4,TCP,ESTAB,192.168.170.64,10811,40.104.66.178,443,2026-04-01T10:41:04Z
0,,IPv4,TCP,TIME_WAIT,192.168.170.64,10995,52.105.226.27,443,1601-01-01T00:00:00Z
12024,msedge.exe,IPv4,TCP,ESTAB,127.0.0.1,22900,127.0.0.1,8889,2026-04-01T10:42:51Z
15884,chrome.exe,IPv4,TCP,CLOSE_WAIT,192.168.170.64,25172,142.251.157.119,443,2026-04-01T10:56:26Z
15968,OneDrive.exe,IPv4,TCP,ESTAB,192.168.170.64,25647,20.135.6.11,443,2026-04-01T10:55:53Z
15968,OneDrive.exe,IPv4,TCP,ESTAB,192.168.170.64,25648,20.209.184.129,443,2026-04-01T10:55:54Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,27213,142.251.43.163,443,2026-04-01T10:55:01Z
12024,msedge.exe,IPv4,TCP,LAST_ACK,192.168.170.64,28021,23.217.111.18,443,2026-04-01T10:56:05Z
3512,svchost.exe,IPv4,TCP,ESTAB,192.168.170.64,28024,23.11.39.161,80,2026-04-01T10:56:18Z
3512,svchost.exe,IPv4,TCP,ESTAB,192.168.170.64,28025,23.50.13.96,80,2026-04-01T10:56:18Z
3512,svchost.exe,IPv4,TCP,ESTAB,192.168.170.64,28026,142.250.182.35,80,2026-04-01T10:56:18Z
14788,msedgewebview2.exe,IPv4,TCP,ESTAB,192.168.170.64,29521,52.123.128.14,443,2026-04-01T10:55:45Z
26468,ms-teams.exe,IPv4,TCP,ESTAB,192.168.170.64,29522,13.89.178.26,443,2026-04-01T10:55:47Z
26468,ms-teams.exe,IPv4,TCP,ESTAB,192.168.170.64,29523,13.89.178.26,443,2026-04-01T10:55:47Z
5100,FileSyncHelper.exe,IPv4,TCP,ESTAB,192.168.170.64,32287,52.178.17.235,443,2026-04-01T10:55:17Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,33862,8.8.4.4,443,2026-04-01T10:54:46Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,36372,172.64.155.209,443,2026-04-01T10:54:46Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,38188,127.0.0.1,8001,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,38195,127.0.0.1,8000,2026-04-01T10:42:49Z
8168,velociraptor-v0.76.1-windows-amd64.exe,IPv4,TCP,ESTAB,127.0.0.1,38196,127.0.0.1,8000,2026-04-01T10:42:49Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,40062,172.253.144.188,5228,2026-04-01T08:32:51Z
15884,chrome.exe,IPv4,TCP,ESTAB,192.168.170.64,40444,8.8.8.8,443,2026-04-01T10:55:47Z
